"country","appearances"
"Argentina","6"
"Brazil","6"
"England","6"
"France","6"
"Germany","6"
"Japan","6"
"Mexico","6"
"Portugal","6"
"South Korea","6"
"Spain","6"
"Australia","5"
"Costa Rica","5"
"Croatia","5"
"Switzerland","5"
"Uruguay","5"
"USA","5"
"Belgium","4"
"Cameroon","4"
"Denmark","4"
"Ecuador","4"
"Ghana","4"
"Iran","4"
"Italy","4"
"Netherlands","4"
"Nigeria","4"
"Poland","4"
"Saudi Arabia","4"
"Tunisia","4"
"Ivory Coast","3"
"Paraguay","3"
"Russia","3"
"Senegal","3"
"Serbia","3"
"Sweden","3"
"Algeria","2"
"Chile","2"
"Colombia","2"
"Greece","2"
"Honduras","2"
"Morocco","2"
"Slovenia","2"
"South Africa","2"
"Angola","1"
"Bosnia and Herzegovina","1"
"Canada","1"
"China PR","1"
"Czech Republic","1"
"Egypt","1"
"Iceland","1"
"New Zealand","1"
"North Korea","1"
"Panama","1"
"Peru","1"
"Qatar","1"
"Republic of Ireland","1"
"Serbia and Montenegro","1"
"Slovakia","1"
"Togo","1"
"Trinidad and Tobago","1"
"Turkey","1"
"Ukraine","1"
"Wales","1"
