"country","points_accumulated"
"Brazil","73"
"Germany","73"
"Argentina","65"
"France","61"
"Netherlands","52"
"Spain","51"
"England","45"
"Belgium","39"
"Portugal","39"
"Croatia","36"
"Uruguay","35"
"Mexico","32"
"Switzerland","29"
"South Korea","27"
"Italy","26"
"Japan","26"
"USA","22"
"Colombia","19"
"Sweden","19"
"Ghana","18"
"Senegal","18"
"Costa Rica","17"
"Denmark","17"
"Ecuador","17"
"Australia","15"
"Morocco","14"
"Chile","13"
"Paraguay","13"
"Poland","13"
"Russia","13"
"Turkey","13"
"Ivory Coast","10"
"Iran","9"
"Nigeria","9"
"Tunisia","9"
"Cameroon","8"
"Greece","8"
"South Africa","8"
"Saudi Arabia","7"
"Serbia","7"
"Ukraine","7"
"Republic of Ireland","6"
"Algeria","5"
"Slovakia","4"
"Slovenia","4"
"Bosnia and Herzegovina","3"
"Czech Republic","3"
"New Zealand","3"
"Peru","3"
"Angola","2"
"Honduras","1"
"Iceland","1"
"Trinidad and Tobago","1"
"Wales","1"
"Canada","0"
"China PR","0"
"Egypt","0"
"North Korea","0"
"Panama","0"
"Qatar","0"
"Serbia and Montenegro","0"
"Togo","0"
